aspect term	category	polarity	text
;null	 teacher	 positive	Professor Christopher is amazing!
;exams	 exam	 negative	Very tricky exams.
;participation	 answering	 negative	She grades too hard on participation...I answer questions way more than most people and only got a B for participation.
;null	 teacher	 positive	Very cool guy!
;teacher	 teacher	 positive	I'm surprised that she doesn't have more comments because she is truly the best teacher at west ga.
;teacher	 teacher	 negative	He is the worst teacher ever.
;null	 teacher	 positive	Wow not as easy as i thought she would be!
;null	 approachable	 positive	Incredibly nice and will go out of his way to help you, so long as you ask.
;math	 course	 positive	Of course, studying math always takes effort and sometimes tedious, but his class inspired me to learn more and keep going. 
;office hours	 approachable	 positive	But he can be very helpful if you go to his office hours, overall it is an interesting class with alot of information and reading is required.
;final;tongue;lecture	 exam teaching teaching	 negative negative negative	Screwed us for the final, had his favourites, and stuck his tongue out too dang much during lecture.
;null	 teacher	 negative	it was a total waste of my time....i want every minute back that i wasted in her class!!!!!!!!!!
;null;pop quiz	 attendance exam	 neutral neutral	Just make sure you attend all the lectures as you never know when there might be a pop quiz.
;null	 teaching	 negative	You have to sit really close to hear him, but even then you still have to listen carefully.
;test;quizes	 exam exam	 positive negative	Test are usually based on power points, but quizes are from book and very hard.
;experiences	 teaching	 positive	She relates all of our sections with her past life experiences.
;class;grade	 course approachable	 negative negative	The class is terribly confusing and hard, but if you talk to him about your grade he can be reassuring.
;teaching style	 teaching	 negative	Completely checked out and his teaching style shows.
;students	 teacher	 positive	She cares for her students and is passionate about what she teaches.
;class	 teacher	 positive	I dont have my grade yet, but I'm pleased with her class you learn alot.
;null	 teacher	 positive	Really nice and helpful but don't expect him to be your babysitter.
;null	 grading	 negative	But it's definately not for someone looking for an easy A.
;book;notes	 teaching teaching	 positive positive	Reading the book isn't really necessary-just study the notes.
;literature;tools	 teaching teaching	 positive positive	He is passionate about literature and gives his students a lot of tools to utilize in order to excel in the class.
;null	 relevant	 positive	Learned a lot.
;math	 teaching	 neutral	If you aren't a math person, you may struggle with him.
;material;tests	 exam exam	 negative negative	The material on the tests is so random compared to what he teaches in class.
;lectures;homework	 teaching exam	 negative negative	The homework is all online, but his lectures are almost 2 weeks behind the homework due dates.
;class;quizzes	 attendance exam	 positive positive	You should attend every class, and he gives weekly, easy Friday quizzes.
;class;null	 course teacher	 positive positive	take him for anth 045, it's the easiest class he teaches and you will love him for it.
;null;perspective;sense of humor	 teaching teaching teacher	 positive positive positive	He's extremely smart, and will make ANY topic interesting with his unique perspective on things, and his sense of humor.
;null	 answering	 positive	Very engaging.
;exams	 exam	 negative	Exams sucked
;null	 teacher	 negative	Everyone else should forget taking her.
;essays	 grading	 neutral	Yes, gives 4-5 essays, but he outlines exactly what he expects when grading.
;labs	 relevant	 negative	Labs were a waste of time, whereas they had nothing to do with what we learned.
;pet phrases	 teaching	 negative	My only criticism is his use of pet phrases (e.g.
;null	 teaching	 negative	I think he spent more time telling us TO study than actually telling us WHAT to study.
;professor	 teacher	 positive	Nice Professor
;teacher	 teacher	 positive	Great teacher and makes class exciting.
;exams	 exam	 negative	My only issue was that his exams covered stupid details from lectures instead of major topics.
;professor	 teacher	 positive	Randy is a great professor who really cares about his students.
;material	 teaching	 negative	He never teaches the material--instead, he goes on about some obscure, random fact you never have to think about again.
;prof;power point;lecture notes	 teacher attendance attendance	 positive positive positive	his a cool prof. as long as you keep up with reading AND attend lecture for his 'power point lecture notes' you'll be fine.
;test	 grading	 positive	I showed up for most classes till the first test and got an A on it.
;online lectures	 teaching	 positive	I have seen most of his online lectures on programming methodology and i have been blown away.
;exams;null	 exam teacher	 negative negative	his exams are very hard and impossible to pass other than that just don't take him 
;teacher;lecture slides	 teacher teaching	 positive neutral	Dr. Molumby is a great teacher, but you really need to pay attention to all the minute details on his lecture slides.
;tests;owls	 exam exam	 neutral neutral	Everyone fails that tests, but you should end up with a C if you do the owls.
;equation	 teaching	 negative	Rambles on for 20minutes before he gives you the one equation you need.
;clarification;assistance	 approachable approachable	 negative negative	When I ask him for clarification or assistance, he tells me I should have read or checked something.
;classes	 attendance	 neutral	I went to only 3 classes but still did fine.
;lecturer	 teacher	 positive	Really interesting lecturer and really funny too.
;grader;exams	 grading grading	 negative negative	Brutal grader, you can understand everything and still do bad on the exams.
;reading;note-taking;class	 course course course	 neutral neutral neutral	There's lots of reading and note-taking in his class.
;teacher;class	 teacher teaching	 positive positive	She is an awesome teacher.Very funny and keeps the class entertaining.
;null	 exam	 neutral	Reading helps to understand more in-depth.
;null	 teacher	 negative	Can't understand a thing he says.
;lab reports;presentations;problem sets;exams	 exam exam exam exam	 neutral neutral neutral neutral	Do well on lab reports, presentations, problem sets, and EXAMs!
